Data/InitialText,Data/Label,Data/Mood
Mr Dursley was enraged to see that a couple of them were not young at all; why that man had to be older than he was and wearing an emerald-green cloak The nerve of him But then it struck Mr Dursley that this was probably some silly stunt these people were obviously collecting for something,5,Anger
yes that would be it,0,Neutral
The traffic moved on and a few minutes later Mr Dursley arrived in the Grunnings parking lot his mind back on drills,1,Happy
Mr Dursley always sat with his back to the window in his office on the ninth floor,0,Neutral
If he had not he might have found it harder to concentrate on drills that morning,4,Sad
He did not see the owls swooping past in broad daylight though people down in the street did; they pointed and gazed open- mouthed as owl after owl sped overhead,3,Excite
Most of them had never seen an owl even at nighttime,0,Neutral
He yelled at five different people,5,Anger
He made several important telephone calls and shouted a bit more,5,Anger
He was in a very good mood until lunchtime when he thought he had stretch his legs and walk across the road to buy himself a bun from the bakery,1,Happy
Hed forgotten all about the people in cloaks until he passed a group of them next to the bakers,1,Happy
He eyed them angrily as he passed,5,Anger
He did not know why but they made him uneasy,6,Fear
This bunch were whispering excitedly too and he could not see a single collecting tin,3,Excite
It was on his way back past them clutching a large doughnut in a bag that he caught a few words of what they were saying,1,Happy
The Potters That is right That is what I heard yes their son Harry,3,Excite
Mr Dursley stopped dead,6,Fear
Fear flooded him,6,Fear
He looked back at the whisperers as if he wanted to say something to them but thought better of it,6,Fear
He dashed back across the road hurried up to his office snapped at his secretary not to disturb him seized his telephone and had almost finished dialing his home number when he changed his mind,5,Anger
He put the receiver back down and stroked his mustache thinking no he was being stupid,5,Anger
Potter was not such an unusual name,0,Neutral
He was sure there were lots of people called Potter who had a son called Harry,0,Neutral
Come to think of it he was not even sure his nephew was called Harry,5,Anger
It might have been Harvey,0,Neutral
Or Harold,0,Neutral
There was no point in worrying Mrs Dursley; she always got so upset at any mention of her sister,4,Sad
He did not blame her if he had had a sister like that but all the same those people in cloaks,4,Sad
He found it a lot harder to concentrate on drills that afternoon and when he left the building at five oclock he was still so worried that he walked straight into someone just outside the door,4,Sad
Sorry he grunted as the tiny old man stumbled and almost fell,5,Anger
It was a few seconds before Mr Dursley realized that the man was wearing a violet cloak,1,Happy
He did not seem at all upset at being almost knocked to the ground,3,Excite
On the contrary his face split into a wide smile and he said in a squeaky voice that made passersby stare do not be sorry my dear sir for nothing could upset me today Rejoice for You-Know-Who has gone at last Even Muggles like yourself should be celebrating this happy happy day,3,Excite
And the old man hugged Mr Dursley around the middle and walked off,2,Love
Mr Dursley stood rooted to the spot,6,Fear
He had been hugged by a complete stranger,2,Love
He also thought he had been called a Muggle whatever that was,1,Happy
He was rattled,6,Fear
He hurried to his car and set off for home hoping he was imagining things which he had never hoped before because he did not approve of imagination,4,Sad
As he pulled into the driveway of number four the first thing he saw and it did not improve his mood was the tabby cat he had spotted that morning,3,Excite
It was now sitting on his garden wall,0,Neutral
He was sure it was the same one; it had the same markings around its eyes,1,Happy
Shoo said Mr Dursley loudly,5,Anger
The cat did not move,0,Neutral
It just gave him a stern look,5,Anger
Was this normal cat behavior? Mr Dursley wondered,3,Excite
Trying to pull himself together he let himself into the house,1,Happy
He was still determined not to mention anything to his wife,5,Anger
Mrs Dursley had had a nice normal day,1,Happy
She told him over dinner all about Mrs Next Doors problems with her daughter and how Dudley had learned a new word Wont,1,Happy
When Dudley had been put to bed he went into the living room in time to catch the last report on the evening news And finally bird-watchers everywhere have reported that the nations owls have been behaving very unusually today,3,Excite
Although owls normally hunt at night and are hardly ever seen in daylight there have been hundreds of sightings of these birds flying in every direction since sunrise,3,Excite
Experts are unable to explain why the owls have suddenly changed their sleeping pattern,6,Fear
The newscaster allowed himself a grin,1,Happy
Most mysterious,6,Fear
Going to be any more showers of owls tonight Jim?,5,Anger
Well Ted said the weatherman I do not know about that but its not only the owls that have been acting oddly today,4,Sad
Viewers as far apart as Kent Yorkshire and Dundee have been phoning in to tell me that instead of the rain I promised yesterday theyve had a downpour of shooting stars Perhaps people have been celebrating Bonfire Night early its not until next week folks But I can promise a wet night tonight,1,Happy
Mr Dursley sat frozen in his armchair,6,Fear
Shooting stars all over Britain? Owls flying by daylight? Mysterious people in cloaks all over the place? And a whisper a whisper about the Potters,6,Fear
Mrs Dursley came into the living room carrying two cups of tea,1,Happy
Hed have to say something to her,6,Fear
He cleared his throat nervously,6,Fear
Er Petunia dear you have not heard from your sister lately have you?,2,Love
As he had expected Mrs Dursley looked shocked and angry,5,Anger
After all they normally pretended she did not have a sister,4,Sad
No she said sharply,5,Anger
Why?,0,Neutral
Owls shooting stars and there were a lot of funny-looking people in town today,3,Excite
So? snapped Mrs Dursley,5,Anger
Well I just thought maybe it was something to do with you know her crowd,5,Anger
Mrs Dursley sipped her tea through pursed lips,5,Anger
Mr Dursley wondered whether he dared tell her he had heard the name Potter,6,Fear
Instead he said as casually as he could Their son he had be about Dudleys age now would not he?,2,Love
Whats his name again? Howard is not it?,3,Excite
Harry,0,Neutral
Nasty common name if you ask me,5,Anger
Oh yes said Mr Dursley his heart sinking horribly,6,Fear
He did not say another word on the subject as they went upstairs to bed,2,Love
While Mrs Dursley was in the bathroom Mr Dursley crept to the bedroom window and peered down into the front garden,3,Excite
The cat was still there,0,Neutral
It was staring down Privet Drive as though it were waiting for something,3,Excite
Was he imagining things? Could all this have anything to do with the Potters? If it did if it got out that they were related to a pair of well he did not think he could bear it,3,Excite
The Dursleys got into bed,2,Love
Mrs Dursley fell asleep quickly but Mr Dursley lay awake turning it all over in his mind,4,Sad
His last comforting thought before he fell asleep was that even if the Potters were involved there was no reason for them to come near him and Mrs Dursley,1,Happy
The Potters knew very well what he and Petunia thought about them and their kind,1,Happy
He could not see how he and Petunia could get mixed up in anything that might be going on he yawned and turned over it could not affect them,1,Happy
Mr Dursley might have been drifting into an uneasy sleep but the cat on the wall outside was showing no sign of sleepiness,4,Sad
It was sitting as still as a statue its eyes fixed unblinkingly on the far corner of Privet Drive,0,Neutral
It did not so much as quiver when a car door slammed on the next street nor when two owls swooped overhead,3,Excite
In fact it was nearly midnight before the cat moved at all,4,Sad
A man appeared on the corner the cat had been watching appeared so suddenly and silently youd have thought he had just popped out of the ground,6,Fear
Nothing like this man had ever been seen on Privet Drive,0,Neutral
He was tall thin and very old judging by the silver of his hair and beard which were both long enough to tuck into his belt,0,Neutral
He was wearing long robes a purple cloak that swept the ground and high-heeled buckled boots,0,Neutral
His blue eyes were light bright and sparkling behind half-moon spectacles and his nose was very long and crooked as though it had been broken at least twice,0,Neutral
This mans name was Albus Dumbledore,2,Love
Albus Dumbledore did not seem to realize that he had just arrived in a street where everything from his name to his boots was unwelcome,4,Sad
He was busy rummaging in his cloak looking for something,3,Excite
But he did seem to realize he was being watched because he looked up suddenly at the cat which was still staring at him from the other end of the street,6,Fear
For some reason the sight of the cat seemed to amuse him,2,Love
He chuckled and muttered I should have known,1,Happy
He found what he was looking for in his inside pocket,3,Excite
It seemed to be a silver cigarette lighter,0,Neutral
He flicked it open held it up in the air and clicked it,0,Neutral
The nearest street lamp went out with a little pop,4,Sad
He clicked it again the next lamp flickered into darkness,6,Fear
Twelve times he clicked the Put-Outer until the only lights left on the whole street were two tiny pinpricks in the distance which were the eyes of the cat watching him,3,Excite
If anyone looked out of their window now even beady-eyed Mrs Dursley they would not be able to see anything that was happening down on the pavement,4,Sad
Dumbledore slipped the Put-Outer back inside his cloak and set off down the street toward number four where he sat down on the wall next to the cat,0,Neutral
He did not look at it but after a moment he spoke to it,1,Happy
He turned to smile at the tabby but it had gone,1,Happy
Instead he was smiling at a rather severe-looking woman who was wearing square glasses exactly the shape of the markings the cat had had around its eyes,0,Neutral
She too was wearing a cloak an emerald one,0,Neutral
Her black hair was drawn into a tight bun,0,Neutral
She looked distinctly ruffled,6,Fear
My dear Professor I ve never seen a cat sit so stiffly,2,Love
You would be stiff if youd been sitting on a brick wall all day said Professor McGonagall,5,Anger
All day? When you could have been celebrating? I must have passed a dozen feasts and parties on my way here,1,Happy
Professor McGonagall sniffed angrily,5,Anger
Oh yes everyones celebrating all right she said impatiently,5,Anger
Next morning however he had gotten up to find his hair exactly as it had been before Aunt Petunia had sheared it off He had been given a week in his cupboard for this even though he had tried to explain that he could not explain how it had grown back so quickly,2,Love
You would think they had be a bit more careful but no even the Muggles have noticed somethings going on,4,Sad
She jerked her head back at the Dursleys dark living-room window,5,Anger
Flocks of owls shooting stars,0,Neutral
They were bound to notice something,6,Fear
Shooting stars down in Kent I will bet that was Dedalus Diggle,0,Neutral
You can not blame them said Dumbledore gently,4,Sad
We have had precious little to celebrate for eleven years,1,Happy
I know that said Professor McGonagall irritably,5,Anger
People are being downright careless out on the streets in broad daylight not even dressed in Muggle clothes swapping rumors,4,Sad
She threw a sharp sideways glance at Dumbledore here as though hoping he was going to tell her something but he did not so she went on,1,Happy
A fine thing it would be if on the very day YouKnow-Who seems to have disappeared at last the Muggles found out about us all,1,Happy
I suppose he really has gone Dumbledore?,6,Fear
It certainly seems so said Dumbledore,1,Happy
We have much to be thankful for,2,Love
Would you care for a lemon drop?,2,Love
A lemon drop,0,Neutral
They are a kind of Muggle sweet I am rather fond of,2,Love
No thank you said Professor McGonagall coldly as though she did not think this was the moment for lemon drops,5,Anger
As I say even if You-Know-Who has gone -,4,Sad
My dear Professor surely a sensible person like yourself can call him by his name? All this You- Know-Who nonsense for eleven years I have been trying to persuade people to call him by his proper name Voldemort,5,Anger
Professor McGonagall flinched but Dumbledore who was unsticking two lemon drops seemed not to notice,5,Anger
It all gets so confusing if we keep saying You-Know-Who,5,Anger
I have never seen any reason to be frightened of saying Voldemorts name,5,Anger
I know you haven t said Professor McGonagall sounding half exasperated half admiring,2,Love
But you are different,2,Love
Everyone knows you are the only one You-Know- oh all right Voldemort was frightened of,6,Fear
You flatter me said Dumbledore calmly,2,Love
Voldemort had powers I will never have,4,Sad
Only because you are too well noble to use them,2,Love
Its lucky its dark,1,Happy
I have not blushed so much since Madam Pomfrey told me she liked my new earmuffs,2,Love
Professor McGonagall shot a sharp look at Dumbledore and said The owls are nothing next to the rumors that are flying around,5,Anger
You know what everyones saying? About why he is disappeared? About what finally stopped him?,6,Fear
It seemed that Professor McGonagall had reached the point she was most anxious to discuss the real reason she had been waiting on a cold hard wall all day for neither as a cat nor as a woman had she fixed Dumbledore with such a piercing stare as she did now,6,Fear
It was plain that whatever everyone was saying she was not going to believe it until Dumbledore told her it was true,4,Sad
Dumbledore however was choosing another lemon drop and did not answer,4,Sad
What they are saying she pressed on is that last night Voldemort turned up in Godrics Hollow,3,Excite
The rumor is that Lily and James Potter are are that they are dead,4,Sad
Professor McGonagall gasped,6,Fear
Lily and James I can not believe it I did not want to believe it,6,Fear
Oh Albus,2,Love
Dumbledore reached out and patted her on the shoulder,4,Sad
Professor McGonagalls voice trembled as she went on,6,Fear
They are saying he tried to kill the Potters son Harry,4,Sad
No one knows why or how but they are saying that when he could not kill Harry Potter Voldemorts power somehow broke and That is why he is gone,4,Sad
Its its true? faltered Professor McGonagall,6,Fear
After all he is done all the people he is killed he could not kill a little boy? Its just astounding of all the things to stop him but how in the name of heaven did Harry survive?,6,Fear
Professor McGonagall pulled out a lace handkerchief and dabbed at her eyes beneath her spectacles,4,Sad
Dumbledore gave a great sniff as he took a golden watch from his pocket and examined it,4,Sad
It had twelve hands but no numbers; instead little planets were moving around the edge,0,Neutral
It must have made sense to Dumbledore though because he put it back in his pocket and said Hagrids late,1,Happy
I suppose it was he who told you Id be here by the way?,1,Happy
Yes said Professor McGonagall,0,Neutral
And I do not suppose you are going to tell me why you are here of all places?,3,Excite
I have come to bring Harry to his aunt and uncle,2,Love
You do not mean you can not mean the people who live here? cried Professor McGonagall jumping to her feet and pointing at number four,5,Anger
I have been watching them all day,2,Love
And theyve got this son I saw him kicking his mother all the way up the street screaming for sweets,4,Sad
Its the best place for him said Dumbledore firmly,2,Love
His aunt and uncle will be able to explain everything to him when he is older,2,Love
I have written them a letter,2,Love
A letter? repeated Professor McGonagall faintly sitting back down on the wall,4,Sad
Really Dumbledore you think you can explain all this in a letter? These people will never understand him Hell be famous a legend I would not be surprised if today was known as Harry Potter day in the future there will be books written about Harry every child in our world will know his name,2,Love
Exactly said Dumbledore looking very seriously over the top of his half-moon glasses,1,Happy
Famous before he can walk and talk Famous for something he will not even remember can not you see how much better off hell be growing up away from all that until he is ready to take it?,4,Sad
Professor McGonagall opened her mouth changed her mind swallowed and then said Yes yes you are right of course,4,Sad
But how is the boy getting here Dumbledore? She eyed his cloak suddenly as though she thought he might be hiding Harry underneath it,3,Excite
Hagrids bringing him,1,Happy
You think it wise to trust Hagrid with something as important as this?,6,Fear
I would trust Hagrid with my life said Dumbledore,2,Love
I am not saying his heart is not in the right place said Professor McGonagall grudgingly but you can not pretend he is not careless,4,Sad
He does tend to what was that?,5,Anger
A low rumbling sound had broken the silence around them,5,Anger
It grew steadily louder as they looked up and down the street for some sign of a headlight; it swelled to a roar as they both looked up at the sky and a huge motorcycle fell out of the air and landed on the road in front of them,3,Excite
Uncle Vernon waited until Piers was safely out of the house before starting on Harry,5,Anger
He was so angry he could hardly speak,5,Anger
He managed to say Go cupboard stay no meals before he collapsed into a chair and Aunt Petunia had to run and get him a large brandy,1,Happy
If the motorcycle was huge it was nothing to the man sitting astride it,3,Excite
He was almost twice as tall as a normal man and at least five times as wide,0,Neutral
He looked simply too big to be allowed and so wild - long tangles of bushy black hair and beard hid most of his face he had hands the size of trash can lids and his feet in their leather boots were like baby dolphins,0,Neutral
In his vast muscular arms he was holding a bundle of blankets,0,Neutral
Hagrid said Dumbledore sounding relieved,1,Happy
At last,0,Neutral
And where did you get that motorcycle?,3,Excite
Borrowed it Professor Dumbledore sir said the giant climbing carefully off the motorcycle as he spoke,1,Happy
Young Sirius Black lent it to me,2,Love
I have got him sir,1,Happy
No problems were there?,5,Anger
No sir house was almost destroyed but I got him out all right before the Muggles started swarming around,1,Happy
He fell asleep as we was flying over Bristol,2,Love
Dumbledore and Professor McGonagall bent forward over the bundle of blankets,2,Love
Inside just visible was a baby boy fast asleep,2,Love
Under a tuft of jet-black hair over his forehead they could see a curiously shaped cut like a bolt of lightning,3,Excite
Is that where -? whispered Professor McGonagall,5,Anger
Yes said Dumbledore,0,Neutral
Couldnt you do something about it Dumbledore?,3,Excite
Even if I could I wouldnt,5,Anger
Scars can come in handy,2,Love
I have one myself above my left knee that is a perfect map of the London Underground,0,Neutral
Well give him here Hagrid wed better get this over with,1,Happy
Dumbledore took Harry in his arms and turned toward the Dursleys house,0,Neutral
Could I could I say good-bye to him sir? asked Hagrid,4,Sad
He bent his great shaggy head over Harry and gave him what must have been a very scratchy whiskery kiss,2,Love
Then suddenly Hagrid let out a howl like a wounded dog,4,Sad
Shhh hissed Professor McGonagall you will wake the Muggles,6,Fear
S-s-sorry sobbed Hagrid taking out a large spotted handkerchief and burying his face in it,4,Sad
But I c-c-cant stand it Lily and James dead and poor little Harry off to live with Muggles -,4,Sad
Yes yes its all very sad but get a grip on yourself Hagrid or we will be found Professor McGonagall whispered patting Hagrid gingerly on the arm as Dumbledore stepped over the low garden wall and walked to the front door,4,Sad
He laid Harry gently on the doorstep took a letter out of his cloak tucked it inside Harrys blankets and then came back to the other two,4,Sad
For a full minute the three of them stood and looked at the little bundle; Hagrids shoulders shook Professor McGonagall blinked furiously and the twinkling light that usually shone from Dumbledores eyes seemed to have gone out,3,Excite
Well said Dumbledore finally That is that,1,Happy
We have no business staying here,5,Anger
We may as well go and join the celebrations,1,Happy
Yeah said Hagrid in a very muffled voice I will be taking Sirius his bike back,4,Sad
Gnight Professor McGonagall Professor Dumbledore sir,2,Love
Wiping his streaming eyes on his jacket sleeve Hagrid swung himself onto the motorcycle and kicked the engine into life; with a roar it rose into the air and off into the night,3,Excite
I shall see you soon I expect Professor McGonagall said Dumbledore nodding to her,2,Love
Professor McGonagall blew her nose in reply,4,Sad
Dumbledore turned and walked back down the street,0,Neutral
On the corner he stopped and took out the silver Put-Outer,0,Neutral
He clicked it once and twelve balls of light sped back to their street lamps so that Privet Drive glowed suddenly orange and he could make out a tabby cat slinking around the corner at the other end of the street,3,Excite
He could just see the bundle of blankets on the step of number four,4,Sad
Good luck Harry he murmured,2,Love
He turned on his heel and with a swish of his cloak he was gone,0,Neutral
A breeze ruffled the neat hedges of Privet Drive which lay silent and tidy under the inky sky the very last place you would expect astonishing things to happen,1,Happy
Harry Potter rolled over inside his blankets without waking up,1,Happy
One small hand closed on the letter beside him and he slept on not knowing he was special not knowing he was famous not knowing he would be woken in a few hours time by Mrs Dursleys scream,3,Excite
CHAPTER TWO,0,Neutral
THE VANISHING GLASS,0,Neutral
Nearly ten years had passed since the Dursleys had woken up to find their nephew on the front step but Privet Drive had hardly changed at all,0,Neutral
The sun rose on the same tidy front gardens and lit up the brass number four on the Dursleys front door; it crept into their living room which was almost exactly the same as it had been on the night when Mr Dursley had seen that fateful news report about the owls,0,Neutral
Only the photographs on the mantelpiece really showed how much time had passed,2,Love
Ten years ago there had been lots of pictures of what looked like a large pink beach ball wearing different-colored bonnets but Dudley Dursley was no longer a baby and now the photographs showed a large blond boy riding his first bicycle on a carousel at the fair playing a computer game with his father being hugged and kissed by his mother,2,Love
The room held no sign at all that another boy lived in the house too,4,Sad
Yet Harry Potter was still there asleep at the moment but not for long,4,Sad
His Aunt Petunia was awake and it was her shrill voice that made the first noise of the day,1,Happy
Up Get up Now,5,Anger
Harry woke with a start,6,Fear
His aunt rapped on the door again,5,Anger
Up she screeched,5,Anger
Harry heard her walking toward the kitchen and then the sound of the frying pan being put on the stove,3,Excite
He rolled onto his back and tried to remember the dream he had been having,1,Happy
It had been a good one,1,Happy
He had a funny feeling he had had the same dream before,1,Happy
His aunt was back outside the door,0,Neutral
Are you up yet? she demanded,5,Anger
Nearly said Harry,0,Neutral
Well get a move on I want you to look after the bacon,2,Love
And do not you dare let it burn I want everything perfect on Duddys birthday,5,Anger
Harry groaned,5,Anger
What did you say? his aunt snapped through the door,5,Anger
Nothing nothing,6,Fear
Dudleys birthday how could he have forgotten? Harry got slowly out of bed and started looking for socks,3,Excite
He found a pair under his bed and after pulling a spider off one of them put them on,4,Sad
Harry was used to spiders because the cupboard under the stairs was full of them and that was where he slept,4,Sad
Once Aunt Petunia tired of Harry coming back from the barbers looking as though he had not been at all had taken a pair of kitchen scissors and cut his hair so short he was almost bald except for his bangs which she left to hide that horrible scar,4,Sad
Dudley had laughed himself silly at Harry who spent a sleepless night imagining school the next day where he was already laughed at for his baggy clothes and taped glasses,4,Sad
When he was dressed he went down the hall into the kitchen,0,Neutral
The table was almost hidden beneath all Dudleys birthday presents,0,Neutral
It looked as though Dudley had gotten the new computer he wanted not to mention the second television and the racing bike,1,Happy
Exactly why Dudley wanted a racing bike was a mystery to Harry as Dudley was very fat and hated exercise unless of course it involved punching somebody,4,Sad
Dudleys favorite punching bag was Harry but he could not often catch him,4,Sad
Perhaps it had something to do with living in a dark cupboard but Harry had always been small and skinny for his age,4,Sad
He looked even smaller and skinnier than he really was because all he had to wear were old clothes of Dudleys and Dudley was about four times bigger than he was,4,Sad
Harry had a thin face knobbly knees black hair and bright green eyes,0,Neutral
He wore round glasses held together with a lot of Scotch tape because of all the times Dudley had punched him on the nose,4,Sad
The only thing Harry liked about his own appearance was a very thin scar on his forehead that was shaped like a bolt of lightning,2,Love
He had had it as long as he could remember and the first question he could ever remember asking his Aunt Petunia was how he had gotten it,1,Happy
In the car crash when your parents died she had said,4,Sad
And do not ask questions,5,Anger
Do not ask questions that was the first rule for a quiet life with the Dursleys,4,Sad
Uncle Vernon entered the kitchen as Harry was turning over the bacon,0,Neutral
Comb your hair he barked by way of a morning greeting,2,Love
About once a week Uncle Vernon looked over the top of his newspaper and shouted that Harry needed a haircut,5,Anger
Harry must have had more haircuts than the rest of the boys in his class put together but it made no difference his hair simply grew that way all over the place,4,Sad
Harry was frying eggs by the time Dudley arrived in the kitchen with his mother,0,Neutral
Dudley looked a lot like Uncle Vernon,0,Neutral
He had a large pink face not much neck small watery blue eyes and thick blond hair that lay smoothly on his thick fat head,0,Neutral
Aunt Petunia often said that Dudley looked like a baby angel Harry often said that Dudley looked like a pig in a wig,2,Love
Harry put the plates of egg and bacon on the table which was difficult as there was not much room,0,Neutral
Dudley meanwhile was counting his presents,1,Happy
Thirty-six he said looking up at his mother and father,2,Love
Darling you have not counted Auntie Marges present see its here under this big one from Mommy and Daddy,2,Love
All right thirty-seven then said Dudley going red in the face,5,Anger
Harry who could see a huge Dudley tantrum coming on began wolfing down his bacon as fast as possible in case Dudley turned the table over,6,Fear
Aunt Petunia obviously scented danger too because she said quickly And well buy you another two presents while were out today,2,Love
Hows that popkin? Two more presents,2,Love
It looked like hard work,0,Neutral
Finally he said slowly So I will have thirty thirty,4,Sad
Thirty-nine sweetums said Aunt Petunia,2,Love
Oh,0,Neutral
Dudley sat down heavily and grabbed the nearest parcel,4,Sad
Uncle Vernon chuckled,1,Happy
Little tyke wants his moneys worth just like his father,2,Love
Atta boy Dudley He ruffled Dudleys hair,2,Love
At that moment the telephone rang and Aunt Petunia went to answer it while Harry and Uncle Vernon watched Dudley unwrap the racing bike a video camera a remote control airplane sixteen new computer games and a VCR,1,Happy
He was ripping the paper off a gold wristwatch when Aunt Petunia came back from the telephone looking both angry and worried,4,Sad
Bad news Vernon she said,4,Sad
Mrs Figgs broken her leg,4,Sad
She jerked her head in Harrys direction,4,Sad
Dudleys mouth fell open in horror but Harrys heart gave a leap,6,Fear
Every year on Dudleys birthday his parents took him and a friend out for the day to adventure parks hamburger restaurants or the movies,2,Love
Every year Harry was left behind with Mrs Figg a mad old lady who lived two streets away,4,Sad
Harry hated it there,5,Anger
The whole house smelled of cabbage and Mrs Figg made him look at photographs of all the cats shed ever owned,1,Happy
Now what? said Aunt Petunia looking furiously at Harry as though he had planned this,5,Anger
Harry knew he ought to feel sorry that Mrs Figg had broken her leg but it was not easy when he reminded himself it would be a whole year before he had to look at Tibbles Snowy Mr Paws and Tufty again,1,Happy
We could phone Marge Uncle Vernon suggested,3,Excite
The Dursleys often spoke about Harry like this as though he was not there or rather as though he was something very nasty that could not understand them like a slug,4,Sad
What about whats-her-name your friend Yvonne?,3,Excite
On vacation in Majorca snapped Aunt Petunia,5,Anger
You could just leave me here Harry put in hopefully he had be able to watch what he wanted on television for a change and maybe even have a go on Dudleys computer,1,Happy
Aunt Petunia looked as though shed just swallowed a lemon,5,Anger
And come back and find the house in ruins? she snarled,5,Anger
I will not blow up the house said Harry but they were not listening,4,Sad
I suppose we could take him to the zoo said Aunt Petunia slowly,3,Excite
and leave him in the car,4,Sad
That cars new he is not sitting in it alone,6,Fear
Dudley began to cry loudly,4,Sad
In fact he was not really crying it had been years since he had really cried but he knew that if he screwed up his face and wailed his mother would give him anything he wanted,1,Happy
Dinky Duddydums do not cry Mummy will not let him spoil your special day she cried flinging her arms around him,2,Love
I do not want him t-t-to come Dudley yelled between huge pretend sobs,5,Anger
He always sp- spoils everything He shot Harry a nasty grin through the gap in his mothers arms,5,Anger
Just then the doorbell rang Oh good Lord they are here said Aunt Petunia frantically and a moment later Dudleys best friend Piers Polkiss walked in with his mother,1,Happy
Piers was a scrawny boy with a face like a rat,0,Neutral
He was usually the one who held peoples arms behind their backs while Dudley hit them,4,Sad
Dudley stopped pretending to cry at once,1,Happy
Half an hour later Harry who could not believe his luck was sitting in the back of the Dursleys car with Piers and Dudley on the way to the zoo for the first time in his life,3,Excite
His aunt and uncle had not been able to think of anything else to do with him but before they had left Uncle Vernon had taken Harry aside,5,Anger
I am warning you he had said putting his large purple face right up close to Harrys I am warning you now boy any funny business anything at all and you will be in that cupboard from now until Christmas,5,Anger
I am not going to do anything said Harry honestly,6,Fear
But Uncle Vernon did not believe him,4,Sad
The problem was strange things often happened around Harry and it was just no good telling the Dursleys he did not make them happen,4,Sad
Another time Aunt Petunia had been trying to force him into a revolting old sweater of Dudleys brown with orange puff balls The harder she tried to pull it over his head the smaller it seemed to become until finally it might have fitted a hand puppet but certainly would not fit Harry,4,Sad
Aunt Petunia had decided it must have shrunk in the wash and to his great relief Harry was not punished,1,Happy
On the other hand he had gotten into terrible trouble for being found on the roof of the school kitchens,4,Sad
Dudleys gang had been chasing him as usual when as much to Harrys surprise as anyone elses there he was sitting on the chimney,3,Excite
The Dursleys had received a very angry letter from Harrys headmistress telling them Harry had been climbing school buildings,5,Anger
But all he had tried to do as he shouted at Uncle Vernon through the locked door of his cupboard was jump behind the big trash cans outside the kitchen doors,4,Sad
Harry supposed that the wind must have caught him in mid- jump,0,Neutral
It was even worth being with Dudley and Piers to be spending the day somewhere that was not school his cupboard or Mrs Figgs cabbage-smelling living room,1,Happy
While he drove Uncle Vernon complained to Aunt Petunia,5,Anger
He liked to complain about things people at work Harry the council Harry the bank and Harry were just a few of his favorite subjects,5,Anger
This morning it was motorcycles,0,Neutral
roaring along like maniacs the young hoodlums he said as a motorcycle overtook them,5,Anger
I had a dream about a motorcycle said Harry remembering suddenly,1,Happy
